id,feature,category,provider,app
ord_18,RFQ / quote request submission from cart,Ordering,Extend,Extend Projects & Quotes
ord_19,Buyer-proposed pricing in quote request,Ordering,Extend,Extend Projects & Quotes
ord_20,Quote line-item price and quantity negotiation,Ordering,Extend,Extend Projects & Quotes
ord_21,Quote status workflow (Pending / Quoted / Approved / Rejected),Ordering,Extend,Extend Projects & Quotes
ord_22,Buyer-merchant message thread on quotes,Ordering,Extend,Extend Projects & Quotes
ord_23,Quote-to-draft-order conversion,Ordering,Extend,Extend Projects & Quotes
ord_24,Convert project items to a quote,Ordering,Extend,Extend Projects & Quotes
ord_25,Standing / scheduled repeat orders,Ordering,Codup,
ord_26,Merchant-defined order templates with pre-set SKU lists,Ordering,Codup,
ord_27,API-based order injection from external systems,Ordering,Codup,
ord_28,Configure-to-order / CPQ beyond app configurator,Ordering,Codup,
acc_1,Company profiles,Accounts & Permissions,Shopify,
acc_2,Company locations (multi-location per account),Accounts & Permissions,Shopify,
acc_3,Parent / child company hierarchy,Accounts & Permissions,Shopify,
acc_4,Basic buyer roles (admin-assigned),Accounts & Permissions,Shopify,
acc_5,B2B login via customer accounts,Accounts & Permissions,Shopify,
acc_6,Company onboarding form with admin approval,Accounts & Permissions,Extend,Extend B2B Onboarding
acc_7,Custom configurable onboarding form fields,Accounts & Permissions,Extend,Extend B2B Onboarding
acc_8,Onboarding form display across store / accounts / POS,Accounts & Permissions,Extend,Extend B2B Onboarding
acc_9,Self-serve location management after onboarding approval,Accounts & Permissions,Extend,Extend B2B Onboarding
acc_10,Buyer role creation and permission customization,Accounts & Permissions,Extend,Extend Projects & Quotes
acc_11,Role-based cart access (Viewer / Editor / Approver / Checkout Manager),Accounts & Permissions,Extend,Extend Projects & Quotes
acc_12,Cart-level approval workflows,Accounts & Permissions,Extend,Extend Projects & Quotes
acc_13,Quote role-based permissions (View / Approve / Checkout),Accounts & Permissions,Extend,Extend Projects & Quotes
acc_14,Quote customer eligibility by customer tag,Accounts & Permissions,Extend,Extend Projects & Quotes
acc_15,Location-based permissions for adding or editing saved addresses,Accounts & Permissions,Extend,Extend B2B Address Book
acc_16,Advanced multi-step purchase approval workflows,Accounts & Permissions,Codup,
acc_17,Territory / region-based account assignment,Accounts & Permissions,Codup,
acc_18,Rep-to-account assignment,Accounts & Permissions,Codup,
acc_19,Enterprise company hierarchies (beyond 2 levels),Accounts & Permissions,Codup,
acc_20,SSO / SAML / OIDC identity integration,Accounts & Permissions,Codup,
acc_21,Custom account permission rules,Accounts & Permissions,Codup,
chk_1,Payment terms (Net 30 / 60 / 90),Checkout & Payments,Shopify,
chk_2,Vaulted credit cards,Checkout & Payments,Shopify,
chk_3,ACH / bank transfer payment,Checkout & Payments,Shopify,
chk_4,Tax exemption,Checkout & Payments,Shopify,
chk_5,Basic checkout customization via Shopify Functions,Checkout & Payments,Shopify,
chk_6,Multiple saved shipping addresses per company location,Checkout & Payments,Extend,Extend B2B Address Book
chk_7,Temporary one-time checkout addresses without saving to list,Checkout & Payments,Extend,Extend B2B Address Book
chk_8,PO number and delivery options at POS checkout,Checkout & Payments,Extend,Extend POS for B2B & Wholesale
chk_9,VAT automation on configured products,Checkout & Payments,Extend,Extend Product Configurator
chk_10,Credit limit enforcement,Checkout & Payments,Codup,
chk_11,ERP-linked invoice-based billing,Checkout & Payments,Codup,
chk_12,Multi-step checkout approval flow,Checkout & Payments,Codup,
chk_13,Custom checkout fields beyond PO number,Checkout & Payments,Codup,
chk_14,Tax exemption certificate upload and validation,Checkout & Payments,Codup,
chk_15,Deferred payment / pay-later workflow,Checkout & Payments,Codup,
inv_1,Real-time inventory display on storefront,Inventory & Fulfillment,Shopify,
inv_2,Multi-location inventory visibility,Inventory & Fulfillment,Shopify,
inv_3,Basic backorder / pre-order settings,Inventory & Fulfillment,Shopify,
inv_4,Basic shipping rate rules,Inventory & Fulfillment,Shopify,
inv_5,Real-time stock in product order tables,Inventory & Fulfillment,Extend,Extend B2B Buying
inv_6,Will-call / custom delivery on POS draft orders,Inventory & Fulfillment,Extend,Extend POS for B2B & Wholesale
inv_7,Shipping calculation on configured products,Inventory & Fulfillment,Extend,Extend Product Configurator
inv_8,WMS integration,Inventory & Fulfillment,Codup,
inv_9,Freight / LTL shipping rules,Inventory & Fulfillment,Codup,
inv_10,Custom fulfillment routing (warehouse selection logic),Inventory & Fulfillment,Codup,
inv_11,Lot / batch tracking,Inventory & Fulfillment,Codup,
inv_12,Available-to-promise (ATP) from ERP,Inventory & Fulfillment,Codup,
inv_13,Delivery window / scheduled delivery booking,Inventory & Fulfillment,Codup,
inv_14,Backorder notifications to buyer,Inventory & Fulfillment,Codup,
por_1,Order history,Buyer Portal,Shopify,
por_2,Basic account management,Buyer Portal,Shopify,
por_3,Shipment tracking via order status page,Buyer Portal,Shopify,
por_4,Basic invoice / order summary view,Buyer Portal,Shopify,
por_5,Shopping lists dashboard in customer account,Buyer Portal,Extend,Extend B2B Buying
por_6,Projects and saved carts dashboard in customer account,Buyer Portal,Extend,Extend Projects & Quotes
por_7,Quotes dashboard in customer account,Buyer Portal,Extend,Extend Projects & Quotes
por_8,Role-based account access for buying team,Buyer Portal,Extend,Extend Projects & Quotes
por_9,Dealer / stockist locator page,Buyer Portal,Extend,Extend Dealer Locator
por_10,Fully branded custom buyer portal UI,Buyer Portal,Codup,
por_11,Account statement and balance view,Buyer Portal,Codup,
por_12,Credit balance / credit limit display,Buyer Portal,Codup,
por_13,Invoice PDF download,Buyer Portal,Codup,
por_14,Document library (SDS / spec sheets / certs),Buyer Portal,Codup,
por_15,Rep-to-buyer messaging,Buyer Portal,Codup,
por_16,Custom account dashboard,Buyer Portal,Codup,
sal_1,Basic discount codes,Sales & Promotions,Shopify,
sal_2,Automatic discounts,Sales & Promotions,Shopify,
sal_3,Draft order discounts (manually applied),Sales & Promotions,Shopify,
sal_4,Shopify Flow automations,Sales & Promotions,Shopify,
sal_5,B2B order tagging for reporting via POS,Sales & Promotions,Extend,Extend POS for B2B & Wholesale
sal_6,Volume pricing enforcement at trade counter (POS),Sales & Promotions,Extend,Extend POS for B2B & Wholesale
sal_7,Rep-assisted ordering portal,Sales & Promotions,Codup,
sal_8,Customer impersonation by sales reps,Sales & Promotions,Codup,
sal_9,Territory management and rep assignment,Sales & Promotions,Codup,
sal_10,Trade-specific promotions and pricing windows,Sales & Promotions,Codup,
sal_11,Rebate program management,Sales & Promotions,Codup,
sal_12,Co-op advertising / marketing fund tracking,Sales & Promotions,Codup,
sal_13,Sales rep commission tracking,Sales & Promotions,Codup,
sal_14,Sales agent dashboard,Sales & Promotions,Codup,
int_1,Shopify Analytics (standard reporting),Integrations & Analytics,Shopify,
int_2,REST and GraphQL APIs,Integrations & Analytics,Shopify,
int_3,Webhooks,Integrations & Analytics,Shopify,
int_4,Shopify Markets (multi-region / international),Integrations & Analytics,Shopify,
int_5,Native app ecosystem,Integrations & Analytics,Shopify,
int_6,ERP integration (NetSuite / SAP / Brightpearl),Integrations & Analytics,Codup,
int_7,CRM integration (HubSpot / Salesforce),Integrations & Analytics,Codup,
int_8,EDI (850 / 855 / 856 / 810),Integrations & Analytics,Codup,
int_9,OMS integration,Integrations & Analytics,Codup,
int_10,PIM integration,Integrations & Analytics,Codup,
int_11,Custom B2B analytics dashboards,Integrations & Analytics,Codup,
int_12,Rep performance reporting,Integrations & Analytics,Codup,
int_13,Buyer behavior analytics (reorder frequency / CLV),Integrations & Analytics,Codup,
int_14,Custom webhook pipelines,Integrations & Analytics,Codup,
